rundir,bioboost,biospherism1,biospherism2,boostceil,credit,egoism1,egoism2,frame1,frame2,habitadjust,hedonism1,hedonism2,maxlinks,newsubcatapp,newsubcatstep,planning1,planning2,visits,split,rep,prep,biospheric.boost.ceiling,biospheric.boost.factor,credit.multiple.limit,habit.adjustment.factor,max.links,visits.per.step,appliance.elect.error,appliance.gas.error,space.heating.elect.error,space.heating.gas.error,space.heating.oil.error,water.heating.elect.error,water.heating.gas.error,water.heating.oil.error,appliance.elect.p.error,appliance.gas.p.error,space.heating.elect.p.error,space.heating.gas.p.error,space.heating.oil.p.error,water.heating.elect.p.error,water.heating.gas.p.error,water.heating.oil.p.error,appliance.elect.abs.error,appliance.gas.abs.error,space.heating.elect.abs.error,space.heating.gas.abs.error,space.heating.oil.abs.error,water.heating.elect.abs.error,water.heating.gas.abs.error,water.heating.oil.abs.error,calibration.error,abs.space.error,rel.space.error,abs.appliances.error,rel.appliances.error,abs.total.error,rel.total.error,abs.appliances.ratio.error,rel.appliances.ratio.error
fgridln10-0641,8.76228473455743,0.526151861620264,0.765742291185691,473,-11.3802524850394,1.42184425487351,2.54817659948635,0.599209778517512,0.777927381312887,0.587494728447155,2.69504386124842,4.29908615073235,14,2,2,13,15,3,0,5,1,473,8.76228473455743,-11.3802524850394,0.587494728447155,14,3,176540,42407,13357.412,1837644.84,0,5461,540100,0,0.893746709327285,1.5595395704619,0.204020283789769,1.09814053298196,NA,0.189756419611522,1.35088491591048,NA,176540,42407,13357.412,1837644.84,0,5461,540100,0,2615510.252,1851002.252,2.06447590698873,218947,1.97431025275899,2615510.252,2.09335069477974,0.00534191932250402,0.94313401843389
fgridln10-0641,8.76228473455743,0.526151861620264,0.765742291185691,473,-11.3802524850394,1.42184425487351,2.54817659948635,0.599209778517512,0.777927381312887,0.587494728447155,2.69504386124842,4.29908615073235,14,2,2,13,15,3,0,5,2,473,8.76228473455743,-11.3802524850394,0.587494728447155,14,3,198133,15516,13357.412,1804303.59,0,5461,550243,0,1.00306285691143,0.570609002647838,0.20402028378977,1.07821645557139,NA,0.189756419611522,1.37625433953958,NA,198133,15516,13357.412,1804303.59,0,5461,550243,0,2587014.002,1817661.002,2.04530199334517,213649,1.95073424706301,2587014.002,2.081438527847,0.00589889963811117,0.937204832602391
fgridln10-0641,8.76228473455743,0.526151861620264,0.765742291185691,473,-11.3802524850394,1.42184425487351,2.54817659948635,0.599209778517512,0.777927381312887,0.587494728447155,2.69504386124842,4.29908615073235,14,2,2,13,15,3,0,5,3,473,8.76228473455743,-11.3802524850394,0.587494728447155,14,3,181444,40356,15821.106,1893358.52,0,5461,537394,0,0.918573569316755,1.48411297440424,0.241650593392494,1.13143393599316,NA,0.189756419611522,1.34411673486539,NA,181444,40356,15821.106,1893358.52,0,5461,537394,0,2673834.626,1909179.626,2.09793259937684,221800,1.98700605197579,2673834.626,2.11773178630355,0.00579875713119649,0.938270873028761
fgridln10-0641,8.76228473455743,0.526151861620264,0.765742291185691,473,-11.3802524850394,1.42184425487351,2.54817659948635,0.599209778517512,0.777927381312887,0.587494728447155,2.69504386124842,4.29908615073235,14,2,2,13,15,3,0,5,4,473,8.76228473455743,-11.3802524850394,0.587494728447155,14,3,196583,18708,25328.124,1801025.706,0,5461,540646,0,0.995215868130088,0.687996469549868,0.386860197644759,1.07625765634944,NA,0.189756419611522,1.35225055776215,NA,196583,18708,25328.124,1801025.706,0,5461,540646,0,2587751.83,1826353.83,2.05030107206568,215291,1.95804111783553,2587751.83,2.08174695896701,0.00558222133761686,0.940575947235746
fgridln10-0641,8.76228473455743,0.526151861620264,0.765742291185691,473,-11.3802524850394,1.42184425487351,2.54817659948635,0.599209778517512,0.777927381312887,0.587494728447155,2.69504386124842,4.29908615073235,14,2,2,13,15,3,0,5,5,473,8.76228473455743,-11.3802524850394,0.587494728447155,14,3,193713,15969,13357.412,1807091.31,0,5461,537790,0,0.980686282451096,0.587268314210062,0.204020283789769,1.07988234239564,NA,0.189756419611522,1.34510720038418,NA,193713,15969,13357.412,1807091.31,0,5461,537790,0,2573381.722,1820448.722,2.04690515766991,209682,1.93308116767533,2573381.722,2.07573988346278,0.00645609875636867,0.931273317565464
fgridln10-0641,8.76228473455743,0.526151861620264,0.765742291185691,473,-11.3802524850394,1.42184425487351,2.54817659948635,0.599209778517512,0.777927381312887,0.587494728447155,2.69504386124842,4.29908615073235,14,2,2,13,15,3,0,5,6,473,8.76228473455743,-11.3802524850394,0.587494728447155,14,3,180784,40830,16673.358,1733134.899,0,5461,525048,0,0.915232270867928,1.50154457193292,0.254667837668586,1.03568744095159,NA,0.189756419611522,1.3132372214941,NA,180784,40830,16673.358,1733134.899,0,5461,525048,0,2501931.257,1749808.257,2.00628118059493,221614,1.98617835528658,2501931.257,2.04587174760273,0.00274089652270525,0.97082251495672
fgridln10-0641,8.76228473455743,0.526151861620264,0.765742291185691,473,-11.3802524850394,1.42184425487351,2.54817659948635,0.599209778517512,0.777927381312887,0.587494728447155,2.69504386124842,4.29908615073235,14,2,2,13,15,3,0,5,7,473,8.76228473455743,-11.3802524850394,0.587494728447155,14,3,187069,31963,21439.112,1811588.307,0,5461,549736,0,0.947050544732899,1.17545601647543,0.327459669166501,1.08256965964808,NA,0.189756419611522,1.37498624353446,NA,187069,31963,21439.112,1811588.307,0,5461,549736,0,2607256.419,1833027.419,2.05413892515093,219032,1.97468850124599,2607256.419,2.08990037986002,0.00517864878263477,0.944872071547381
fgridln10-0641,8.76228473455743,0.526151861620264,0.765742291185691,473,-11.3802524850394,1.42184425487351,2.54817659948635,0.599209778517512,0.777927381312887,0.587494728447155,2.69504386124842,4.29908615073235,14,2,2,13,15,3,0,5,8,473,8.76228473455743,-11.3802524850394,0.587494728447155,14,3,186763,35444,22212.996,1754554.25,0,5461,515549,0,0.94550139727026,1.30347160929685,0.339279925463182,1.04848722522506,NA,0.189756419611522,1.28947855492081,NA,186763,35444,22212.996,1754554.25,0,5461,515549,0,2519984.246,1776767.246,2.02178477830059,222207,1.98881719473122,2519984.246,2.05341836228371,0.00295534176069263,0.968539695203348
fgridln10-0641,8.76228473455743,0.526151861620264,0.765742291185691,473,-11.3802524850394,1.42184425487351,2.54817659948635,0.599209778517512,0.777927381312887,0.587494728447155,2.69504386124842,4.29908615073235,14,2,2,13,15,3,0,7,1,473,8.76228473455743,-11.3802524850394,0.587494728447155,14,3,186114,30711,16114.986,1850338.066,0,5461,545043,0,0.942215787128913,1.12941306266549,0.246139298315285,1.1057257560139,NA,0.189756419611522,1.36324822666653,NA,186114,30711,16114.986,1850338.066,0,5461,545043,0,2633782.052,1866453.052,2.07336136583997,216825,1.96486739053044,2633782.052,2.10098877809813,0.00608621681422215,0.935210797417534
fgridln10-0641,8.76228473455743,0.526151861620264,0.765742291185691,473,-11.3802524850394,1.42184425487351,2.54817659948635,0.599209778517512,0.777927381312887,0.587494728447155,2.69504386124842,4.29908615073235,14,2,2,13,15,3,0,7,2,473,8.76228473455743,-11.3802524850394,0.587494728447155,14,3,178423,35912,12079.034,1814974.647,0,5461,539660,0,0.903279535053258,1.32068255369226,0.184494417375632,1.08459327004957,NA,0.189756419611522,1.34978439866737,NA,178423,35912,12079.034,1814974.647,0,5461,539660,0,2586509.681,1827053.681,2.05070354295796,214335,1.95378693485226,2586509.681,2.08122770867115,0.00575219480229125,0.938766539918758
