rundir,bioboost,biospherism1,biospherism2,boostceil,credit,egoism1,egoism2,frame1,frame2,habitadjust,hedonism1,hedonism2,maxlinks,newsubcatapp,newsubcatstep,planning1,planning2,visits,split,rep,prep,biospheric.boost.ceiling,biospheric.boost.factor,credit.multiple.limit,habit.adjustment.factor,max.links,visits.per.step,appliance.elect.error,appliance.gas.error,space.heating.elect.error,space.heating.gas.error,space.heating.oil.error,water.heating.elect.error,water.heating.gas.error,water.heating.oil.error,appliance.elect.p.error,appliance.gas.p.error,space.heating.elect.p.error,space.heating.gas.p.error,space.heating.oil.p.error,water.heating.elect.p.error,water.heating.gas.p.error,water.heating.oil.p.error,appliance.elect.abs.error,appliance.gas.abs.error,space.heating.elect.abs.error,space.heating.gas.abs.error,space.heating.oil.abs.error,water.heating.elect.abs.error,water.heating.gas.abs.error,water.heating.oil.abs.error,calibration.error,abs.space.error,rel.space.error,abs.appliances.error,rel.appliances.error,abs.total.error,rel.total.error,abs.appliances.ratio.error,rel.appliances.ratio.error
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,4,1,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,109397,33822,34007.38,2327299.218,0,5461,545966,0,0.553830343039974,1.24382171226831,0.519426616364497,1.39074839056659,NA,0.189756419611522,1.3655568117015,NA,109397,33822,34007.38,2327299.218,0,5461,545966,0,3055952.598,2361306.598,2.35794215261955,143219,1.637322000712,3055952.598,2.27746694691114,0.0264040789854009,0.71892239882236
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,4,2,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,122126,33152,19470.116,2374071.976,0,5461,543818,0,0.618271839941679,1.219182112386,0.297385346183807,1.41869887385974,NA,0.189756419611522,1.36018428661471,NA,122126,33152,19470.116,2374071.976,0,5461,543818,0,3098099.092,2393542.092,2.3764801671875,155278,1.69098433606266,3098099.092,2.29508526764309,0.0247260911014552,0.736784972612016
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,4,3,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,114486,37432,38484.152,2416507.594,0,5461,541784,0,0.579593779109797,1.37658134745513,0.587804554688335,1.44405756730996,NA,0.189756419611522,1.3550968955409,NA,114486,37432,38484.152,2416507.594,0,5461,541784,0,3154154.746,2454991.746,2.41181868506619,151918,1.67603239587042,3154154.746,2.31851797573528,0.0260314105774768,0.722889541254858
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,4,4,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,103570,43501,34007.38,2316966.934,0,5461,543079,0,0.524330727795553,1.59977199176228,0.519426616364497,1.38457402019224,NA,0.189756419611522,1.3583359178814,NA,103570,43501,34007.38,2316966.934,0,5461,543079,0,3046585.314,2350974.314,2.35200025418573,147071,1.65446333214667,3046585.314,2.2735511807765,0.0255795163902739,0.727700060652082
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,4,5,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,116825,33038,38484.152,2323431.368,0,5461,554068,0,0.591435138309505,1.21498970285378,0.587804554688335,1.38843703922816,NA,0.189756419611522,1.38582133602793,NA,116825,33038,38484.152,2323431.368,0,5461,554068,0,3071307.52,2361915.52,2.35829233198726,149863,1.66688768244927,3071307.52,2.28388570004895,0.0253778127221171,0.729847243412201
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,4,6,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,132604,37658,23956.684,2302998.012,0,5461,551544,0,0.67131748410352,1.38489261547514,0.365912908005071,1.3762264662382,NA,0.189756419611522,1.3795083689334,NA,132604,37658,23956.684,2302998.012,0,5461,551544,0,3054221.696,2326954.696,2.3381870323874,170262,1.75766286934852,3054221.696,2.27674338526468,0.0214173349585384,0.772007456230818
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,4,7,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,119115,40011,29746.12,2258600.232,0,5461,547160,0,0.603028431412255,1.47142541924095,0.454340394984039,1.3496952232411,NA,0.189756419611522,1.3685432153112,NA,119115,40011,29746.12,2258600.232,0,5461,547160,0,3000093.352,2288346.352,2.31598411396722,159126,1.70810786756853,3000093.352,2.25411634242498,0.0227545284953418,0.757772718035906
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,4,8,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,119390,42868,34007.38,2353269.887,0,5461,552619,0,0.604420639099267,1.57649308620182,0.519426616364497,1.40626795325726,NA,0.189756419611522,1.38219713265235,NA,119390,42868,34007.38,2353269.887,0,5461,552619,0,3107615.267,2387277.267,2.37287738644166,162258,1.72204521181915,3107615.267,2.2990632740531,0.0235767136495265,0.749020364621501
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,2,1,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,103612,40525,42471.124,2328421.979,0,5461,537902,0,0.52454335587866,1.49032803765813,0.648701318140856,1.39141933053068,NA,0.189756419611522,1.34538733204606,NA,103612,40525,42471.124,2328421.979,0,5461,537902,0,3058393.103,2370893.103,2.36345516784884,144137,1.64140708437166,3058393.103,2.27848714090019,0.0262658955448314,0.720393393891692
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,2,2,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,101076,38366,46360.136,2301561.276,0,5461,540968,0,0.511704669717711,1.41092968520153,0.708101846619114,1.37536790096898,NA,0.189756419611522,1.35305593629006,NA,101076,38366,46360.136,2301561.276,0,5461,540968,0,3033792.412,2347921.412,2.35024458877695,139442,1.62051441794233,3033792.412,2.26820341802954,0.0268243560847548,0.714448450725872
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,2,3,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,93417,39466,54632.858,2347715.03,0,5461,556994,0,0.47293041999109,1.45138275963519,0.834458890195659,1.40294847960608,NA,0.189756419611522,1.39313977569458,NA,93417,39466,54632.858,2347715.03,0,5461,556994,0,3097685.888,2402347.888,2.38154421163895,132883,1.59132698469206,3097685.888,2.2949125377216,0.0288002037024142,0.693415090351085
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,2,4,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,112859,28565,38342.11,2219264.648,0,5461,545864,0,0.571356972176097,1.05049279199765,0.585635013975654,1.32618904933922,NA,0.189756419611522,1.36530169179514,NA,112859,28565,38342.11,2219264.648,0,5461,545864,0,2950355.758,2257606.758,2.29830636280929,141424,1.62933428266287,2950355.758,2.2333247462479,0.0254052216468218,0.729555468993137
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,2,5,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,111940,32745,50400.986,2201134.452,0,5461,527565,0,0.566704467214775,1.20421447484554,0.76982153930748,1.31535479961635,NA,0.189756419611522,1.31953268035977,NA,111940,32745,50400.986,2201134.452,0,5461,527565,0,2929246.438,2251535.438,2.29481486307901,144685,1.6438456746173,2929246.438,2.22450050643822,0.0245205563729225,0.738972937906567
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,2,6,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,104588,39788,54632.858,2259613.706,0,5461,538914,0,0.529484427524199,1.46322447778758,0.834458890195659,1.35030085543634,NA,0.189756419611522,1.3479185217052,NA,104588,39788,54632.858,2259613.706,0,5461,538914,0,3002997.564,2314246.564,2.33087882931946,144376,1.64247063011748,3002997.564,2.25533037789112,0.0255267610622712,0.728261653467062
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,2,7,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,109167,42925,48314.438,2310374.355,0,5461,547934,0,0.552665951156292,1.57858929096793,0.737951734355669,1.38063442421635,NA,0.189756419611522,1.37047912518884,NA,109167,42925,48314.438,2310374.355,0,5461,547934,0,3064175.793,2358688.793,2.35643670315363,152092,1.67680669277323,3064175.793,2.28090445435723,0.0248796873185267,0.735149904929166
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,2,8,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,101970,43605,49440.978,2255148.849,0,5461,548113,0,0.51623061034385,1.60359664607237,0.755158436559698,1.34763274441785,NA,0.189756419611522,1.37092683561274,NA,101970,43605,49440.978,2255148.849,0,5461,548113,0,3003738.827,2304589.827,2.32532542501349,145575,1.64780615877536,3003738.827,2.25564024492966,0.0253139548393286,0.730527025521638
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,3,1,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,114626,24508,32160.834,2391065.816,0,5461,552895,0,0.580302539386821,0.901294498381877,0.491222587099632,1.42885405951303,NA,0.189756419611522,1.38288745710484,NA,114626,24508,32160.834,2391065.816,0,5461,552895,0,3120716.65,2423226.65,2.39355118736938,139134,1.61914382342471,3120716.65,2.30453998980853,0.0279384434961671,0.70258872945799
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,3,2,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,100501,35202,32660.43,2300227.849,0,5461,547655,0,0.508793690008505,1.29457193292145,0.498853385468376,1.37457107113298,NA,0.189756419611522,1.36978129720969,NA,100501,35202,32660.43,2300227.849,0,5461,547655,0,3021707.279,2332888.279,2.34159932220974,135703,1.60387593449626,3021707.279,2.26315152096587,0.0273651697844233,0.708691362305144
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,3,3,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,101092,42964,36446.584,2389710.288,0,5461,561833,0,0.511785670892228,1.58002353633422,0.556682867223656,1.42804402255268,NA,0.189756419611522,1.40524296419317,NA,101092,42964,36446.584,2389710.288,0,5461,561833,0,3137506.872,2426156.872,2.39523630186223,144056,1.64104663581346,3137506.872,2.31155873533827,0.0272487428790139,0.709930753965163
fgridln11-0641,0.201109813797338,0.166563157082663,0.959606725482195,697,-19.1873823347192,0.218843339171073,0.289653503782486,0.340151396621046,0.361946345809791,0.44202416186522,2.11987221970864,2.85187069459595,10,3,4,2,8,2,0,3,4,697,0.201109813797338,-19.1873823347192,0.44202416186522,10,2,101442,37578,32660.43,2218878.318,0,5461,537564,0,0.513557571584788,1.38195057369815,0.498853385468375,1.32595818610446,NA,0.189756419611522,1.34454193470931,NA,101442,37578,32660.43,2218878.318,0,5461,537564,0,2933583.748,2251538.748,2.29481676659655,139020,1.6186365254539,2933583.748,2.22631361380355,0.0256407842822321,0.727047849601269
