insulation-state,fuel-use-factor,dwelling-type
loft100,2.498,flat-non-top-solid-4
dg-loft100,2.248,flat-non-top-solid-4
loft100-swi,1.611,flat-non-top-solid-4
dg-loft100-swi,1.45,flat-non-top-solid-4
loft100,3.367,flat-non-top-solid-5
dg-loft100,3.031,flat-non-top-solid-5
loft100-swi,2.172,flat-non-top-solid-5
dg-loft100-swi,1.955,flat-non-top-solid-5
loft100,3.926,flat-non-top-solid-6+
dg-loft100,3.533,flat-non-top-solid-6+
loft100-swi,2.532,flat-non-top-solid-6+
dg-loft100-swi,2.279,flat-non-top-solid-6+
