urban_rural,respnr,own,dg,loft_100,loft_270,cavity_wi,solid_wi,minimum,dg,loft100,loft270,dg-loft100,dg-loft270,cwi,dg-cwi,loft100-cwi,loft270-cwi,dg-loft100-cwi,dg-loft270-cwi,swi,dg-swi,loft100-swi,loft270-swi,dg-loft100-swi,dg-loft270-swi,primary_heat_GAS_2010,primary_heat_ELECT_2010,primary_heat_OIL_2010,boil_condensing_2010,gas_boil_cond_2010,oil_boil_cond_2010,fr-freezers-missing-values-zeroed,fridges-missing-values-zeroed,freezers-missing-values-zeroed,dishwashers-missing-values-zeroed,dryers-missing-values-zeroed,hobtype-missing-values-filled,oventype-missing-values-filled,gas-oven-electric-hob,TVst_2010,TVlcd_2010,Tvpla_2010,TV_2010,incomeUKNLDE_2010,household-type
urban,543,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,1,household
urban,547,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,1,4,household
urban,549,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,2,0,2,2,0,4,11,household
urban,550,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,2,0,2,2,0,4,2,household
urban,551,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,2,0,1,1,0,2,7,household
urban,553,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,2,household
urban,555,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,0,1,1,0,2,8,household
urban,556,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,2,2,0,0,1,0,1,11,household
urban,559,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,2,0,1,1,0,2,6,household
urban,560,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,3,2,0,0,1,0,1,7,household
