appliance,category,subcategory,household,dwelling,tenure,purpose,mode,fuel,units 1,units 2,units 3,units 4
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-det-solid-3,*,water-heating,*,water-heating-gas,1062,1062,1062,1062
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-det-solid-4,*,water-heating,*,water-heating-gas,1062,1062,1062,1062
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-det-solid-5,*,water-heating,*,water-heating-gas,1062,1062,1062,1062
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-det-solid-6+,*,water-heating,*,water-heating-gas,1062,1062,1062,1062
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-semi-cavity-1,*,water-heating,*,water-heating-gas,1131,1131,1131,1131
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-semi-cavity-2,*,water-heating,*,water-heating-gas,1131,1131,1131,1131
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-semi-cavity-3,*,water-heating,*,water-heating-gas,1131,1131,1131,1131
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-semi-cavity-4,*,water-heating,*,water-heating-gas,1131,1131,1131,1131
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-semi-cavity-5,*,water-heating,*,water-heating-gas,1131,1131,1131,1131
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-semi-cavity-6+,*,water-heating,*,water-heating-gas,1131,1131,1131,1131
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-semi-solid-1,*,water-heating,*,water-heating-gas,1131,1131,1131,1131
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-semi-solid-2,*,water-heating,*,water-heating-gas,1131,1131,1131,1131
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-semi-solid-3,*,water-heating,*,water-heating-gas,1131,1131,1131,1131
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-semi-solid-4,*,water-heating,*,water-heating-gas,1131,1131,1131,1131
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-semi-solid-5,*,water-heating,*,water-heating-gas,1131,1131,1131,1131
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-semi-solid-6+,*,water-heating,*,water-heating-gas,1131,1131,1131,1131
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-mid-cavity-1,*,water-heating,*,water-heating-gas,1092,1092,1092,1092
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-mid-cavity-2,*,water-heating,*,water-heating-gas,1092,1092,1092,1092
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-mid-cavity-3,*,water-heating,*,water-heating-gas,1092,1092,1092,1092
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-mid-cavity-4,*,water-heating,*,water-heating-gas,1092,1092,1092,1092
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-mid-cavity-5,*,water-heating,*,water-heating-gas,1092,1092,1092,1092
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-mid-cavity-6+,*,water-heating,*,water-heating-gas,1092,1092,1092,1092
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-mid-solid-1,*,water-heating,*,water-heating-gas,1092,1092,1092,1092
gas-standard-boiler-D,heating,gas-boiler-sub,household,house-mid-solid-2,*,water-heating,*,water-heating-gas,1092,1092,1092,1092
