rundir,bioboost,biospherism1,biospherism2,boostceil,credit,egoism1,egoism2,frame1,frame2,habitadjust,hedonism1,hedonism2,maxlinks,newsubcatapp,newsubcatstep,planning1,planning2,visits,rep,prep,biospheric.boost.ceiling,biospheric.boost.factor,credit.multiple.limit,habit.adjustment.factor,max.links,visits.per.step,appliance.elect.error,appliance.gas.error,space.heating.elect.error,space.heating.gas.error,space.heating.oil.error,water.heating.elect.error,water.heating.gas.error,water.heating.oil.error,appliance.elect.p.error,appliance.gas.p.error,space.heating.elect.p.error,space.heating.gas.p.error,space.heating.oil.p.error,water.heating.elect.p.error,water.heating.gas.p.error,water.heating.oil.p.error,appliance.elect.abs.error,appliance.gas.abs.error,space.heating.elect.abs.error,space.heating.gas.abs.error,space.heating.oil.abs.error,water.heating.elect.abs.error,water.heating.gas.abs.error,water.heating.oil.abs.error,calibration.error,abs.space.error,rel.space.error,abs.appliances.error,rel.appliances.error,abs.total.error,rel.total.error,abs.appliances.ratio.error,rel.appliances.ratio.error
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,7,1,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,127229,17523,-30829.538,302747.529999999,4512.671,-18688,73454,743,0.387575433562109,0.344676331163083,-0.192998234631276,0.0915433872327452,0.247976206176503,-0.254106385293158,0.0881111063129459,0.200756552283167,127229,17523,30829.538,302747.529999999,4512.671,18688,73454,743,575726.738999999,276430.662999999,1.07931817550557,144752,1.38182259408928,476691.662999999,1.09982881226766,0.0203561543763053,1.25639788544928
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,7,2,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,119862,23659,-30829.538,368236.662999999,3104.114,-18688,80208,479,0.365133472853056,0.46537107338854,-0.192998234631276,0.111345686071503,0.170574458731729,-0.254106385293158,0.0962128082221359,0.129424479870305,119862,23659,30829.538,368236.662999999,3104.114,18688,80208,479,645066.314999999,340511.238999999,1.09770526150574,143521,1.3785754982749,546031.238999999,1.11434991270323,0.0188249825498704,1.2371118645585
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,7,3,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,128008,45360,-38656.542,259240.038,-31.1150000000016,-18688,94956,1767,0.389948487368591,0.892228407325085,-0.241996632027044,0.0783877945589371,-0.00170980327508526,-0.254106385293158,0.113903643246822,0.477438530126993,128008,45360,38656.542,259240.038,31.1150000000016,18688,94956,1767,586706.695,220552.381,1.06328463085272,173368,1.4573050423626,471955.380999999,1.09883693965204,0.0258999283815163,1.32622502008721
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,7,4,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,134180,3107,-38656.542,266445.791,-31.1150000000016,-18688,87590,1767,0.40875014089055,0.061114498711619,-0.241996632027044,0.0805666365702413,-0.00170980327508526,-0.254106385293158,0.105067822064842,0.477438530126993,134180,3107,38656.542,266445.791,31.1150000000016,18688,87590,1767,550465.448,227758.134,1.0653522277499,137287,1.36213163531236,435714.134,1.09124729434476,0.0197079756572505,1.24823368852453
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,7,5,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,132257,2680,-36496.524,246461.272000001,9658.895,-18688,95936,1767,0.402892140287386,0.0527154350006884,-0.228474546137473,0.0745238108485017,0.530766842510166,-0.254106385293158,0.115079193716323,0.477438530126993,132257,2680,36496.524,246461.272000001,9658.895,18688,95936,1767,543944.691000001,219623.643000001,1.06301814158962,134937,1.35593287400952,433575.643,1.09079945136124,0.0192974917541373,1.24306339934202
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,7,6,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,135405,4438,-36496.524,331501.098,-31.1150000000016,-18688,74213,1767,0.412481836542592,0.0872951867660654,-0.228474546137473,0.10023775712487,-0.00170980327508526,-0.254106385293158,0.0890215581561611,0.477438530126993,135405,4438,36496.524,331501.098,31.1150000000016,18688,74213,1767,602539.737,294973.458999999,1.08463878911453,139843,1.36887377739325,492108.459,1.10305739911554,0.0191322003885609,1.24098145616978
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,7,7,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,153993,-12065,-36496.524,84416.3770000003,-31.1150000000016,-18688,66253,1767,0.469106129424344,-0.237317807195263,-0.228474546137473,0.0255254306731965,-0.00170980327508526,-0.254106385293158,0.0794732094447083,0.477438530126993,153993,12065,36496.524,84416.3770000003,31.1150000000016,18688,66253,1767,373710.016,47888.7379999999,1.01374104914484,141928,1.3743735294428,239148.738,1.05008255088751,0.0245184336453713,1.30882427127391
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,7,8,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,118076,18666,-36496.524,349504.249,9658.895,-18688,92224,1767,0.359692812906488,0.367159070792108,-0.228474546137473,0.105681466024502,0.530766842510166,-0.254106385293158,0.110626496427766,0.477438530126993,118076,18666,36496.524,349504.249,9658.895,18688,92224,1767,645080.668,322666.62,1.09258498068627,136742,1.36069405024426,534711.619999999,1.11197935704262,0.0177576713595969,1.22366844458616
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,5,1,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,153136,-12216,-36320.196,398237.493,1921.074,-18688,89068,247,0.466495465608998,-0.24028796789866,-0.227370702391386,0.120417197234596,0.105565117045829,-0.254106385293158,0.106840744099456,0.0667387192650635,153136,12216,36320.196,398237.493,1921.074,18688,89068,247,709833.763,363838.371,1.10439867796663,140920,1.37171465650949,575385.371,1.1204972577486,0.0178000086358003,1.22420170778969
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,5,2,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,139612,7877,-34120.994,283040.599,-31.1150000000016,-18688,79285,1767,0.42529754561046,0.154940105037471,-0.213603317891574,0.0855844972768078,-0.00170980327508526,-0.254106385293158,0.0951056316064737,0.477438530126993,139612,7877,34120.994,283040.599,31.1150000000016,18688,79285,1767,564421.708,248888.49,1.07141530797231,147489,1.38904217267903,458741.49,1.09606968537354,0.0212212014674948,1.26729366865543
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,5,3,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,145510,-13302,-36320.196,123811.779999999,-5077.338,-18688,102727,247,0.443264517819228,-0.261649521036999,-0.227370702391386,0.037437629038676,-0.279005275304979,-0.254106385293158,0.123225278653443,0.0667387192650635,145510,13302,36320.196,123811.779999999,5077.338,18688,102727,247,445683.313999999,82414.2459999993,1.02364769362937,132208,1.34873439758591,298908.245999999,1.06259739259419,0.0213789601513868,1.26928073321651
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,5,4,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,148830,-20316,-36320.196,334908.284000001,3104.114,-18688,71275,479,0.453378174606801,-0.399614469206711,-0.227370702391386,0.101268006149105,0.170574458731729,-0.254106385293158,0.0854973058302505,0.129424479870305,148830,20316,36320.196,334908.284000001,3104.114,18688,71275,479,633920.594000001,301692.202000001,1.08656664484033,128514,1.33899047237199,483272.202000001,1.10120690935524,0.0171432910860681,1.2159299592081
fgridln08-0228,3.34618708890961,0,0,1290,1.19274349066846,2.47204778411717,4.87222321588036,0.629176447386257,0.882774813745933,0.551493277814266,4.79058677908329,4.8172077891291,17,1,4,9,10,2,5,5,1290,3.34618708890961,1.19274349066846,0.551493277814266,17,2,119704,28094,-36320.196,370109.447999999,-31.1150000000016,-18688,82163,1767,0.364652160270997,0.552607250339306,-0.227370702391386,0.111911970072098,-0.00170980327508526,-0.254106385293158,0.0985579114546597,0.477438530126993,119704,28094,36320.196,370109.447999999,31.1150000000016,18688,82163,1767,656876.758999999,333758.136999999,1.09576754691276,147798,1.38985724384608,546798.136999998,1.11451051655351,0.0196144910957835,1.24705619480743
