rundir,bioboost,biospherism1,biospherism2,boostceil,credit,egoism1,egoism2,frame1,frame2,habitadjust,hedonism1,hedonism2,maxlinks,newsubcatapp,newsubcatstep,planning1,planning2,visits,rep,prep,biospheric.boost.ceiling,biospheric.boost.factor,credit.multiple.limit,habit.adjustment.factor,max.links,visits.per.step,appliance.elect.error,appliance.gas.error,space.heating.elect.error,space.heating.gas.error,space.heating.oil.error,water.heating.elect.error,water.heating.gas.error,water.heating.oil.error,appliance.elect.p.error,appliance.gas.p.error,space.heating.elect.p.error,space.heating.gas.p.error,space.heating.oil.p.error,water.heating.elect.p.error,water.heating.gas.p.error,water.heating.oil.p.error,appliance.elect.abs.error,appliance.gas.abs.error,space.heating.elect.abs.error,space.heating.gas.abs.error,space.heating.oil.abs.error,water.heating.elect.abs.error,water.heating.gas.abs.error,water.heating.oil.abs.error,calibration.error,abs.space.error,rel.space.error,abs.appliances.error,rel.appliances.error,abs.total.error,rel.total.error,abs.appliances.ratio.error,rel.appliances.ratio.error
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,8,1,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-98163,29117,-35776.518,-330742.014000001,-31.1150000000016,-18688,97512,1767,-0.299032196156201,0.57272959735636,-0.223967184174283,-0.100008228842496,-0.00170980327508526,-0.254106385293158,0.116969670797887,0.477438530126993,98163,29117,35776.518,330742.014000001,31.1150000000016,18688,97512,1767,611796.647000001,366549.647000002,0.894823356726347,69046,0.817872479610032,355004.647000002,0.925654893906734,0.00924442923868686,0.883560909139901
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,8,2,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-94167,28361,-35776.518,-351433.831999999,-31.1150000000016,-18688,84301,1767,-0.286859252625134,0.557859123900942,-0.223967184174283,-0.106264924339642,-0.00170980327508526,-0.254106385293158,0.101122530744243,0.477438530126993,94167,28361,35776.518,351433.831999999,31.1150000000016,18688,84301,1767,614525.464999999,387241.465,0.888886109266744,65806,0.82641885689566,385667.465,0.919233483717902,0.00801626164911115,0.899030411243456
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,8,3,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-97745,31446,-35776.518,-318860.507,-31.1150000000016,-18688,96013,1767,-0.29775885021126,0.618540883967033,-0.223967184174283,-0.0964155541270001,-0.00170980327508526,-0.254106385293158,0.115171558396069,0.477438530126993,97745,31446,35776.518,318860.507,31.1150000000016,18688,96013,1767,600327.14,354668.140000001,0.898232600285904,66299,0.825118435907446,341875.140000001,0.928404476480134,0.00883254177238071,0.888748877036572
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,8,4,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-91100,27123,-35776.518,-316372.268000001,-31.1150000000016,-18688,94987,1767,-0.277516305225288,0.533507740120773,-0.223967184174283,-0.0956631720140741,-0.00170980327508526,-0.254106385293158,0.11394082902698,0.477438530126993,91100,27123,35776.518,316372.268000001,31.1150000000016,18688,94987,1767,585844.901000001,352179.901000001,0.898946568033041,63977,0.831243339628813,338090.901000001,0.929196972162415,0.00836939483749803,0.894582488462435
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,8,5,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-85320,25433,-35776.518,-325530.132000001,-31.1150000000016,-18688,89075,1767,-0.259908794311982,0.500265544168847,-0.223967184174283,-0.0984322842521717,-0.00170980327508526,-0.254106385293158,0.106849140888524,0.477438530126993,85320,25433,35776.518,325530.132000001,31.1150000000016,18688,89075,1767,581620.765000001,361337.765000002,0.896318838329958,59887,0.842031822066535,349070.765000002,0.926897568025405,0.0072691224871852,0.908441073872206
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,8,6,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-90142,19527,-35776.518,-309667.938000001,-5077.338,-18688,94312,247,-0.274597966911283,0.384094887783001,-0.223967184174283,-0.0936359479527377,-0.279005275304979,-0.254106385293158,0.113131138652579,0.0667387192650635,90142,19527,35776.518,309667.938000001,5077.338,18688,94312,247,573437.794000001,350521.794000001,0.899422340223455,70615,0.813733817276343,345265.794000001,0.927694405405049,0.0097528386866778,0.87715718940986
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,8,7,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-99279,33836,-35776.518,-308834.232,-31.1150000000016,-18688,98471,1767,-0.302431847052265,0.665552036822125,-0.223967184174283,-0.093383855817762,-0.00170980327508526,-0.254106385293158,0.118120030900184,0.477438530126993,99279,33836,35776.518,308834.232,31.1150000000016,18688,98471,1767,596682.865,344641.865,0.901109509205799,65443,0.827376367684143,328534.865,0.931198198107638,0.00885172373702429,0.888507268769978
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,8,8,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-89883,23916,-35776.518,-405016.957000001,-31.1150000000016,-18688,66411,1767,-0.273808979830566,0.470426247565845,-0.223967184174283,-0.122467139964707,-0.00170980327508526,-0.254106385293158,0.0796627369693829,0.477438530126993,89883,23916,35776.518,405016.957000001,31.1150000000016,18688,66411,1767,641489.590000001,440824.590000002,0.873511129997939,65967,0.825994175802146,457301.590000002,0.904231858617982,0.00686937889750995,0.913476082411635
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,2,1,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-92934,22409,-38769.196,-304200.435999999,-31.1150000000016,-18688,105378,1767,-0.283103186715773,0.440783650347174,-0.242701865531489,-0.0919827101780745,-0.00170980327508526,-0.254106385293158,0.126405262627571,0.477438530126993,92934,22409,38769.196,304200.435999999,31.1150000000016,18688,105378,1767,584176.746999999,343000.746999999,0.901580406624112,70525,0.813971216645389,325068.747,0.931924072860601,0.0100486848990229,0.873430830203636
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,2,2,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-92969,23911,-38769.196,-335433.173,-3387.227,-18688,88458,743,-0.283209806591545,0.47032789787368,-0.242701865531489,-0.101426719638795,-0.186131827673371,-0.254106385293158,0.106109023909257,0.200756552283167,92969,23911,38769.196,335433.173,3387.227,18688,88458,743,602358.596,377589.596,0.891655587265278,69058,0.817840826360826,376134.596000001,0.921229858027836,0.00891020628928629,0.887770646200781
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,2,3,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-88110,16599,-38769.196,-380045.146,-4305.818,-18688,87765,479,-0.268407921552142,0.326501308050906,-0.242701865531489,-0.114916280130191,-0.236609407627212,-0.254106385293158,0.105277741791539,0.129424479870305,88110,16599,38769.196,380045.146,4305.818,18688,87765,479,634761.16,423120.16,0.878591185411206,71511,0.81137037466896,425075.16,0.910980720576843,0.00868113597867864,0.890655923162886
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,2,4,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-93544,22196,-38769.196,-302195.054,-31.1150000000016,-18688,102132,1767,-0.284961418836381,0.436593953460926,-0.242701865531489,-0.091376332114559,-0.00170980327508526,-0.254106385293158,0.122511551582675,0.477438530126993,93544,22196,38769.196,302195.054,31.1150000000016,18688,102132,1767,579322.365,340995.365,0.902155824849086,71348,0.811800331304008,327132.365,0.931491909787688,0.0102015415743161,0.871505509359753
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,2,5,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-86985,13367,-38769.196,-306763.882,-31.1150000000016,-18688,103538,1767,-0.264980854116593,0.26292806703515,-0.242701865531489,-0.0927578330331755,-0.00170980327508526,-0.254106385293158,0.124198106644019,0.477438530126993,86985,13367,38769.196,306763.882,31.1150000000016,18688,103538,1767,569909.193,345564.193,0.900844859208639,73618,0.805812591662534,332565.193,0.930354166444158,0.0106278971430884,0.866135307097484
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,2,6,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-96613,21998,-38769.196,-347049.529,-4305.818,-18688,96188,479,-0.294310458800557,0.432699305651173,-0.242701865531489,-0.104939219230588,-0.236609407627212,-0.254106385293158,0.115381478122766,0.129424479870305,96613,21998,38769.196,347049.529,4305.818,18688,96188,479,624090.543,390124.543,0.888058847615238,74615,0.803182734207666,386760.543,0.919004571221784,0.0100058519787878,0.873970336338875
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,2,7,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-107736,36916,-38769.196,-383871.881000001,-31.1150000000016,-18688,96740,1767,-0.328194255321093,0.72613544719605,-0.242701865531489,-0.116073390425829,-0.00170980327508526,-0.254106385293158,0.116043624917831,0.477438530126993,107736,36916,38769.196,383871.881000001,31.1150000000016,18688,96740,1767,684519.192000001,422672.192000001,0.878719723989594,70820,0.813193074269074,413673.192000002,0.913368521772674,0.00870756144539382,0.890323078674554
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,2,8,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-89066,23571,-38769.196,-288588.743999999,-31.1150000000016,-18688,102516,1767,-0.271320167301817,0.463640118806428,-0.242701865531489,-0.0872621195059908,-0.00170980327508526,-0.254106385293158,0.122972175440112,0.477438530126993,89066,23571,38769.196,288588.743999999,31.1150000000016,18688,102516,1767,562997.054999999,327389.054999999,0.906059978146881,65495,0.82723920360425,307289.054999999,0.935647497607899,0.00919880783192047,0.884135537923407
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,7,1,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-86979,24997,-39175.73,-289892.086,-5077.338,-18688,106681,247,-0.264962576423604,0.491689451012018,-0.245246838612746,-0.0876562179860108,-0.279005275304979,-0.254106385293158,0.127968264935489,0.0667387192650635,86979,24997,39175.73,289892.086,5077.338,18688,106681,247,571737.154,334145.154,0.904121403603814,61982,0.836505692309316,307887.153999999,0.935522243659859,0.00840301182651738,0.894159062468487
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,7,2,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-88975,26524,-39175.73,-322656.195,-3387.227,-18688,86792,743,-0.271042955624808,0.521725446999351,-0.245246838612746,-0.0975632765754663,-0.186131827673371,-0.254106385293158,0.104110588111106,0.200756552283167,88975,26524,39175.73,322656.195,3387.227,18688,86792,743,586941.152,365219.152,0.895205124923746,62451,0.835268577819513,358823.152000001,0.924855222235555,0.00769043336143159,0.903134412541356
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,7,3,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-93440,29432,-39175.73,-378065.898999999,-31.1150000000016,-18688,85483,1767,-0.284644605491228,0.578925627962784,-0.245246838612746,-0.114317804646178,-0.00170980327508526,-0.254106385293158,0.102540388555416,0.477438530126993,93440,29432,39175.73,378065.898999999,31.1150000000016,18688,85483,1767,646082.743999999,417272.743999999,0.880269025212004,64008,0.831161568735031,412718.743999999,0.913568402361337,0.00716149105327565,0.909796755871474
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,7,4,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-89040,19877,-39175.73,-325082.003999999,-31.1150000000016,-18688,90762,1767,-0.271240963965528,0.390979366234584,-0.245246838612746,-0.0982967813959337,-0.00170980327508526,-0.254106385293158,0.108872767053879,0.477438530126993,89040,19877,39175.73,325082.003999999,31.1150000000016,18688,90762,1767,584422.848999999,364288.848999999,0.895472063243203,69163,0.817563860430273,359610.848999999,0.924690262656775,0.00919774853615564,0.884148880384323
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,7,5,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-93830,27062,-39175.73,-297264.518,-31.1150000000016,-18688,110363,1767,-0.285832655535552,0.532307873876355,-0.245246838612746,-0.0898854596165638,-0.00170980327508526,-0.254106385293158,0.132384975985183,0.477438530126993,93830,27062,39175.73,297264.518,31.1150000000016,18688,110363,1767,588181.363,336471.363,0.903453928253134,66768,0.823881321417643,309797.363,0.935122207513951,0.00944446508439081,0.881041338551841
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,7,6,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-94264,17543,-39175.73,-407498.394,-31.1150000000016,-18688,72942,1767,-0.287154741995132,0.345069729931745,-0.245246838612746,-0.123217465320572,-0.00170980327508526,-0.254106385293158,0.0874969411696967,0.477438530126993,94264,17543,39175.73,407498.394,31.1150000000016,18688,72942,1767,651909.239,446705.239,0.871823754420981,76721,0.797627588972008,467405.239,0.902115951507521,0.00919574368742199,0.884174132647912
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,7,7,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-95840,28016,-39175.73,-368293.432999999,-31.1150000000016,-18688,90313,1767,-0.291955682687065,0.551072995141525,-0.245246838612746,-0.111362851919539,-0.00170980327508526,-0.254106385293158,0.10833417301224,0.477438530126993,95840,28016,39175.73,368293.432999999,31.1150000000016,18688,90313,1767,642124.277999999,407500.277999999,0.88307310694772,67824,0.821095835487513,401932.277999999,0.915827305071254,0.00821224662857163,0.896561863727822
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,7,8,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-96799,21800,-39175.73,-304363.12,-3387.227,-18688,106243,743,-0.294877067283234,0.428804657841421,-0.245246838612746,-0.0920319018078417,-0.186131827673371,-0.254106385293158,0.1274428658481,0.200756552283167,96799,21800,39175.73,304363.12,3387.227,18688,106243,743,591199.077,346926.077,0.900454084346842,74999,0.802169830233073,333627.077,0.930131786598413,0.010922390048591,0.862425993596769
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,6,1,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-95335,18593,-39464.712,-308335.863000001,-1831.98,-18688,86207,1767,-0.290417310193774,0.365723165286493,-0.247055915863278,-0.0932331613220821,-0.100669304319156,-0.254106385293158,0.103408856453292,0.477438530126993,95335,18593,39464.712,308335.863000001,1831.98,18688,86207,1767,570222.555000001,349632.555000001,0.899677495763375,76742,0.797572195785897,357088.555000002,0.925218481700139,0.010953304974999,0.862036601690355
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,6,2,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-97021,22820,-39464.712,-272523.932000001,-4855.404,-18688,98895,743,-0.295553341923849,0.448867995043176,-0.247055915863278,-0.0824045165199746,-0.26680975931421,-0.254106385293158,0.118628636409437,0.200756552283167,97021,22820,39464.712,272523.932000001,4855.404,18688,98895,743,555011.048000001,316844.048000001,0.909085730452562,74201,0.804274771305274,310095.048,0.935059866293647,0.0111045287216091,0.860131848555565
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,6,3,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-96537,27813,-39464.712,-372477.067000001,-6377.976,-18688,76840,247,-0.294078941356022,0.547079997639607,-0.247055915863278,-0.112627879671548,-0.350476755687438,-0.254106385293158,0.0921727531391996,0.0667387192650635,96537,27813,39464.712,372477.067000001,6377.976,18688,76840,247,638444.755000001,418319.755,0.879968599053223,68724,0.81872184179706,428644.755000001,0.910233175660945,0.00798184926326397,0.89946385573407
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,6,4,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-97827,33430,-39464.712,-384244.885,-1831.98,-18688,83143,1767,-0.298008645348784,0.657566041818289,-0.247055915863278,-0.116186177637046,-0.100669304319156,-0.254106385293158,0.0997334619241602,0.477438530126993,97827,33430,39464.712,384244.885,1831.98,18688,83143,1767,660396.577,425541.577,0.877896391365952,64397,0.830135475906602,423716.577,0.911265235154681,0.00706832779235206,0.910970202616906
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,6,5,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-98420,25093,-39464.712,-394751.334,-1831.98,-18688,75648,1767,-0.299815090672589,0.493577765101595,-0.247055915863278,-0.119363068722658,-0.100669304319156,-0.254106385293158,0.0907428999150725,0.477438530126993,98420,25093,39464.712,394751.334,1831.98,18688,75648,1767,655664.026,436048.026,0.874881702775771,73327,0.80658018295578,450648.026,0.905625248607828,0.00868291638367581,0.890633497901804
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,6,6,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-95531,20288,-39464.712,-240970.321,-1831.98,-18688,110407,1767,-0.291014381498101,0.399063710930585,-0.247055915863278,-0.0728634826744979,-0.100669304319156,-0.254106385293158,0.132437755802181,0.477438530126993,95531,20288,39464.712,240970.321,1831.98,18688,110407,1767,528948.013000001,282267.013,0.91900715993809,75243,0.801526214165884,264024.013,0.944708066715378,0.0120329371992838,0.848437990958077
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,6,7,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-91489,24946,-39464.712,-291249.315,-4855.404,-18688,96331,743,-0.278701308987446,0.490686284151931,-0.247055915863278,-0.0880666105659619,-0.26680975931421,-0.254106385293158,0.115553012528009,0.200756552283167,91489,24946,39464.712,291249.315,4855.404,18688,96331,743,567766.431,335569.431,0.903712725883952,66543,0.824474819840257,323726.431,0.93220518080179,0.00917503858655641,0.884434925722174
fgridln10-0228,1.07672233673842,0,0,1537,4.08279206951565,4.32113753676706,4.5551419988541,0.167159141026772,0.865343553839668,0.705547611037296,0.871595046439371,1.28599189854011,10,0,6,16,16,5,6,8,1537,1.07672233673842,4.08279206951565,0.705547611037296,10,5,-102195,26854,-39464.712,-382164.214000001,-1831.98,-18688,79091,1767,-0.311314805845206,0.528216526682271,-0.247055915863278,-0.115557034036578,-0.100669304319156,-0.254106385293158,0.0948729205951644,0.477438530126993,102195,26854,39464.712,382164.214000001,1831.98,18688,79091,1767,652055.906000001,423460.906,0.878493412788092,75341,0.801267712630702,436631.906,0.908560505757901,0.00937557675099891,0.881909028130495
