rundir,bioboost,biospherism1,biospherism2,boostceil,credit,egoism1,egoism2,frame1,frame2,habitadjust,hedonism1,hedonism2,maxlinks,newsubcatapp,newsubcatstep,planning1,planning2,visits,rep,prep,biospheric.boost.ceiling,biospheric.boost.factor,credit.multiple.limit,habit.adjustment.factor,max.links,visits.per.step,appliance.elect.error,appliance.gas.error,space.heating.elect.error,space.heating.gas.error,space.heating.oil.error,water.heating.elect.error,water.heating.gas.error,water.heating.oil.error,appliance.elect.p.error,appliance.gas.p.error,space.heating.elect.p.error,space.heating.gas.p.error,space.heating.oil.p.error,water.heating.elect.p.error,water.heating.gas.p.error,water.heating.oil.p.error,appliance.elect.abs.error,appliance.gas.abs.error,space.heating.elect.abs.error,space.heating.gas.abs.error,space.heating.oil.abs.error,water.heating.elect.abs.error,water.heating.gas.abs.error,water.heating.oil.abs.error,calibration.error,abs.space.error,rel.space.error,abs.appliances.error,rel.appliances.error,abs.total.error,rel.total.error,abs.appliances.ratio.error,rel.appliances.ratio.error
fgridln11-0572,7.23104488876746,0.978555413984822,0.980430414825475,2456,-10.5942057220887,0.100384243923983,0.417809795861373,0.351844254922149,0.747505179681236,0.394507159305022,2.22365561764397,4.10597175119477,18,5,5,9,16,2,3,1,2456,7.23104488876746,-10.5942057220887,0.394507159305022,18,2,45041,8995,24282.758,251484.376999999,13019.505,-18688,87036,1767,0.137207594990694,0.176931096205669,0.152014260673595,0.076042673929319,0.715436036927135,-0.254106385293158,0.104403276187186,0.477438530126993,45041,8995,24282.758,251484.376999999,13019.505,18688,87036,1767,450313.639999999,288786.639999999,1.08286356204696,54036,1.14253458117476,412937.64,1.08647743885928,0.00409629795508144,1.0515953118864
fgridln11-0572,7.23104488876746,0.978555413984822,0.980430414825475,2456,-10.5942057220887,0.100384243923983,0.417809795861373,0.351844254922149,0.747505179681236,0.394507159305022,2.22365561764397,4.10597175119477,18,5,5,9,16,2,3,2,2456,7.23104488876746,-10.5942057220887,0.394507159305022,18,2,51136,9729,18414.954,274650.269999999,13019.505,-18688,80721,1767,0.155774684785953,0.191368831015559,0.115280793789908,0.0830474686950808,0.715436036927135,-0.254106385293158,0.0968281729066805,0.477438530126993,51136,9729,18414.954,274650.269999999,13019.505,18688,80721,1767,468125.728999999,306084.728999999,1.08782702320689,60865,1.16054791774376,430749.728999999,1.09020764818932,0.00512243080386457,1.06452006612801
fgridln11-0572,7.23104488876746,0.978555413984822,0.980430414825475,2456,-10.5942057220887,0.100384243923983,0.417809795861373,0.351844254922149,0.747505179681236,0.394507159305022,2.22365561764397,4.10597175119477,18,5,5,9,16,2,3,3,2456,7.23104488876746,-10.5942057220887,0.394507159305022,18,2,49098,19412,10823.054,172642.689999999,13019.505,-18688,82102,1767,0.149566361733822,0.381832844863196,0.0677541880555902,0.0522028920386988,0.715436036927135,-0.254106385293158,0.0984847394356398,0.477438530126993,49098,19412,10823.054,172642.689999999,13019.505,18688,82102,1767,367552.248999999,196485.248999998,1.05637888103766,68510,1.18071367525877,330176.248999998,1.06914554068184,0.00828484980320532,1.10435261648828
fgridln11-0572,7.23104488876746,0.978555413984822,0.980430414825475,2456,-10.5942057220887,0.100384243923983,0.417809795861373,0.351844254922149,0.747505179681236,0.394507159305022,2.22365561764397,4.10597175119477,18,5,5,9,16,2,3,4,2456,7.23104488876746,-10.5942057220887,0.394507159305022,18,2,52548,3720,-5668.51200000002,337294.039,4348.206,-18688,82494,247,0.160076035202837,0.0731721709711049,-0.0354858645298611,0.101989399627715,0.238938674579624,-0.254106385293158,0.09895495962344,0.0667387192650635,52548,3720,5668.51200000002,337294.039,4348.206,18688,82494,247,505007.757,335973.733,1.09640328330492,56268,1.14842208552708,456294.733,1.09555728529571,0.00383100572372037,1.04825379826405
fgridln11-0572,7.23104488876746,0.978555413984822,0.980430414825475,2456,-10.5942057220887,0.100384243923983,0.417809795861373,0.351844254922149,0.747505179681236,0.394507159305022,2.22365561764397,4.10597175119477,18,5,5,9,16,2,3,5,2456,7.23104488876746,-10.5942057220887,0.394507159305022,18,2,50387,16847,13619.812,287209.574,2154.035,-18688,67044,1767,0.153493019444419,0.331379452782313,0.0852623763615874,0.0868450925087116,0.118366578744917,-0.254106385293158,0.0804220466093766,0.477438530126993,50387,16847,13619.812,287209.574,2154.035,18688,67044,1767,457716.421,302983.421000001,1.08693714330149,67234,1.17734787975986,420340.421,1.08802772994274,0.00651764610345885,1.08209363360787
fgridln11-0572,7.23104488876746,0.978555413984822,0.980430414825475,2456,-10.5942057220887,0.100384243923983,0.417809795861373,0.351844254922149,0.747505179681236,0.394507159305022,2.22365561764397,4.10597175119477,18,5,5,9,16,2,3,6,2456,7.23104488876746,-10.5942057220887,0.394507159305022,18,2,48638,15742,24282.758,316903.364,13019.505,-18688,84685,1767,0.148165071937953,0.309644170813745,0.152014260673595,0.0958237623474969,0.715436036927135,-0.254106385293158,0.10158315460168,0.477438530126993,48638,15742,24282.758,316903.364,13019.505,18688,84685,1767,523725.627,354205.626999999,1.10163468763755,64380,1.16981968199036,486349.626999999,1.1018513839841,0.00489738977350195,1.06168554034982
fgridln11-0572,7.23104488876746,0.978555413984822,0.980430414825475,2456,-10.5942057220887,0.100384243923983,0.417809795861373,0.351844254922149,0.747505179681236,0.394507159305022,2.22365561764397,4.10597175119477,18,5,5,9,16,2,3,7,2456,7.23104488876746,-10.5942057220887,0.394507159305022,18,2,52983,10942,27760.338,206755.659999998,-1831.98,-18688,83722,1767,0.161401167944582,0.2152284663349,0.17378451233254,0.0625178129312623,-0.100669304319156,-0.254106385293158,0.100427996334202,0.477438530126993,52983,10942,27760.338,206755.659999998,1831.98,18688,83722,1767,404449.977999998,232684.017999998,1.06676564595536,63925,1.16861949629129,363410.017999998,1.07610535966749,0.00682550206457444,1.08597126275107
fgridln11-0572,7.23104488876746,0.978555413984822,0.980430414825475,2456,-10.5942057220887,0.100384243923983,0.417809795861373,0.351844254922149,0.747505179681236,0.394507159305022,2.22365561764397,4.10597175119477,18,5,5,9,16,2,3,8,2456,7.23104488876746,-10.5942057220887,0.394507159305022,18,2,47018,13776,15255.744,269387.331999999,13019.505,-18688,69886,1767,0.143230094830764,0.270973071854285,0.095503593339176,0.0814560860294124,0.715436036927135,-0.254106385293158,0.0838311429709279,0.477438530126993,47018,13776,15255.744,269387.331999999,13019.505,18688,69886,1767,448797.580999999,297662.580999999,1.08541039762003,60794,1.16036063601929,411421.580999999,1.08615994564292,0.00542369750152615,1.06831469957442
fgridln11-0572,7.23104488876746,0.978555413984822,0.980430414825475,2456,-10.5942057220887,0.100384243923983,0.417809795861373,0.351844254922149,0.747505179681236,0.394507159305022,2.22365561764397,4.10597175119477,18,5,5,9,16,2,5,1,2456,7.23104488876746,-10.5942057220887,0.394507159305022,18,2,54116,32386,8280.99199999997,257468.514,13019.505,-18688,87913,1767,0.16485260563745,0.63703062609414,0.0518404407161636,0.0778521293876172,0.715436036927135,-0.254106385293158,0.105455273903259,0.477438530126993,54116,32386,8280.99199999997,257468.514,13019.505,18688,87913,1767,473639.010999999,278769.010999999,1.07998913398407,86502,1.22817244690167,436263.010999999,1.09136224021699,0.00995246988140495,1.1253572843582
fgridln11-0572,7.23104488876746,0.978555413984822,0.980430414825475,2456,-10.5942057220887,0.100384243923983,0.417809795861373,0.351844254922149,0.747505179681236,0.394507159305022,2.22365561764397,4.10597175119477,18,5,5,9,16,2,5,2,2456,7.23104488876746,-10.5942057220887,0.394507159305022,18,2,53019,12741,12076.942,196549.421,2154.035,-18688,89611,1767,0.16151083410252,0.250614685576034,0.0756037435833228,0.0594316979463877,0.118366578744917,-0.254106385293158,0.107492095022863,0.477438530126993,53019,12741,12076.942,196549.421,2154.035,18688,89611,1767,386606.398,210780.398,1.06048068770756,65760,1.17345980564905,349230.398,1.07313586233226,0.00742217486939578,1.09348671201683
